experiment_id,phase,hypothesis_id,strategy_family,instrument,mechanism,session,timeframe,train_period,validation_period,oos_period,oos_trades,oos_pf,oos_expectancy,oos_total_R,oos_max_dd,oos_first_half_R,oos_second_half_R,parameter_robustness,cost_robustness,high_vol_result,drawdown_correlation,portfolio_fit,final_classification,rejection_reason,preregistered,post_result_modification,notes
EXP-131,Phase30,EXP-131,calendar_drift,GBPUSD,calendar_drift,Monday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,3.201,0.2837,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),E. PROMISING -- requires more validation,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-132,Phase30,EXP-132,calendar_drift,GBPUSD,calendar_drift,Monday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.26,-0.3284,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-133,Phase30,EXP-133,calendar_drift,GBPUSD,calendar_drift,Tuesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.968,-0.0075,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-134,Phase30,EXP-134,calendar_drift,GBPUSD,calendar_drift,Tuesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.85,-0.0375,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-135,Phase30,EXP-135,calendar_drift,GBPUSD,calendar_drift,Wednesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.035,0.0087,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-136,Phase30,EXP-136,calendar_drift,GBPUSD,calendar_drift,Wednesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.81,-0.0537,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-137,Phase30,EXP-137,calendar_drift,GBPUSD,calendar_drift,Thursday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,0.875,-0.0359,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-138,Phase30,EXP-138,calendar_drift,GBPUSD,calendar_drift,Thursday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,0.968,-0.0087,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-139,Phase30,EXP-139,calendar_drift,GBPUSD,calendar_drift,Friday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.9,-0.0243,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-140,Phase30,EXP-140,calendar_drift,GBPUSD,calendar_drift,Friday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.913,-0.0205,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-141,Phase30,EXP-141,calendar_drift,AUDUSD,calendar_drift,Monday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,3.07,0.2548,NA,NA,NA,NA,NOT TESTED (screen stage),ROBUST -- OOS PF 2.647 / t=3.62 surviving 2x spread stress (vs PF 3.07/t=4.15 at 1x),NA,"INSUFFICIENT DATA -- only 1 of controls worst 10 historical days coincided with an AUDUSD Monday trade day; that 1 day both were negative simultaneously (n=1, not conclusive)","MODEST -- positive but moderate correlation (0.29) to the existing 6-strategy control; not a clean diversifier, not redundant either",E. PROMISING -- requires more validation,"Single standout of the 60-cell screen: OOS t=4.15 (t=3.62 at 2x cost) but IS t=1.65 does NOT clear the pre-declared 2.0 bar -- per this projects own IS-only-selection discipline, this must not be promoted past E without an independent confirmatory test on data not used in this screen.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-142,Phase30,EXP-142,calendar_drift,AUDUSD,calendar_drift,Monday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.241,-0.3194,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-143,Phase30,EXP-143,calendar_drift,AUDUSD,calendar_drift,Tuesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.33,0.0671,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-144,Phase30,EXP-144,calendar_drift,AUDUSD,calendar_drift,Tuesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.573,-0.1317,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-145,Phase30,EXP-145,calendar_drift,AUDUSD,calendar_drift,Wednesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,85,1.416,0.0809,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-146,Phase30,EXP-146,calendar_drift,AUDUSD,calendar_drift,Wednesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,85,0.533,-0.1459,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-147,Phase30,EXP-147,calendar_drift,AUDUSD,calendar_drift,Thursday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,0.909,-0.0232,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-148,Phase30,EXP-148,calendar_drift,AUDUSD,calendar_drift,Thursday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,0.844,-0.0407,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-149,Phase30,EXP-149,calendar_drift,AUDUSD,calendar_drift,Friday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.793,-0.0555,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-150,Phase30,EXP-150,calendar_drift,AUDUSD,calendar_drift,Friday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.964,-0.0089,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-151,Phase30,EXP-151,calendar_drift,USDCAD,calendar_drift,Monday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.129,0.0319,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-152,Phase30,EXP-152,calendar_drift,USDCAD,calendar_drift,Monday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.708,-0.0925,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-153,Phase30,EXP-153,calendar_drift,USDCAD,calendar_drift,Tuesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.812,-0.0445,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-154,Phase30,EXP-154,calendar_drift,USDCAD,calendar_drift,Tuesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.928,-0.016,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-155,Phase30,EXP-155,calendar_drift,USDCAD,calendar_drift,Wednesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.001,0.0003,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
EXP-156,Phase30,EXP-156,calendar_drift,USDCAD,calendar_drift,Wednesday full session,D1,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.764,-0.0612,NA,NA,NA,NA,NOT TESTED (screen stage),NOT TESTED (screen stage),NA,NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history.",PARTIAL (screening bar pre-registered; individual cells not pre-selected before the sweep),NO,"Exploratory calendar-drift screen cell, not a standalone confirmatory candidate"
