experiment_id,instrument,strategy_family,hypothesis,timeframe,session,train_period,validation_period,oos_period,trade_count,oos_pf,oos_expectancy,is_t_stat,oos_t_stat,is_pf,is_trades,cost_stress_status,walk_forward_status,monte_carlo_status,portfolio_correlation,drawdown_correlation,marginal_dd_impact,marginal_return_impact,diversification_status,final_classification,notes
EXP-131,GBPUSD,calendar_drift,"Monday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Monday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,3.201,0.2837,1.89,4.36,1.621,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),E. PROMISING -- requires more validation,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-132,GBPUSD,calendar_drift,"Monday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Monday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.26,-0.3284,-2.88,-5.06,0.48,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-133,GBPUSD,calendar_drift,"Tuesday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Tuesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.968,-0.0075,-0.18,-0.12,0.955,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-134,GBPUSD,calendar_drift,"Tuesday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Tuesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.85,-0.0375,-0.61,-0.57,0.855,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-135,GBPUSD,calendar_drift,"Wednesday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Wednesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.035,0.0087,-0.53,0.12,0.874,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-136,GBPUSD,calendar_drift,"Wednesday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Wednesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.81,-0.0537,-0.2,-0.75,0.951,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-137,GBPUSD,calendar_drift,"Thursday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Thursday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,0.875,-0.0359,-0.48,-0.49,0.887,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-138,GBPUSD,calendar_drift,"Thursday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Thursday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,0.968,-0.0087,-0.16,-0.12,0.961,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-139,GBPUSD,calendar_drift,"Friday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Friday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.9,-0.0243,0.08,-0.36,1.021,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-140,GBPUSD,calendar_drift,"Friday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Friday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.913,-0.0205,-0.83,-0.31,0.811,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-141,AUDUSD,calendar_drift,"Monday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Monday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,3.07,0.2548,1.65,4.15,1.507,101,ROBUST -- OOS PF 2.647 / t=3.62 surviving 2x spread stress (vs PF 3.07/t=4.15 at 1x),NOT TESTED (only a single IS/OOS split performed; multi-window walk-forward not run in this phase),NOT TESTED in this phase,"0.29 (daily R, 84 overlapping days, control vs candidate OOS period)","INSUFFICIENT DATA -- only 1 of controls worst 10 historical days coincided with an AUDUSD Monday trade day; that 1 day both were negative simultaneously (n=1, not conclusive)",NOT COMPUTED -- would require a full portfolio Monte Carlo re-run with the candidate included; out of scope for this screen-stage phase,Directionally positive OOS (mean R +0.36/trade over 84 Monday trades) but IS mean R did not clear the pre-declared significance bar,"MODEST -- positive but moderate correlation (0.29) to the existing 6-strategy control; not a clean diversifier, not redundant either",E. PROMISING -- requires more validation,"Single standout of the 60-cell screen: OOS t=4.15 (t=3.62 at 2x cost) but IS t=1.65 does NOT clear the pre-declared 2.0 bar -- per this projects own IS-only-selection discipline, this must not be promoted past E without an independent confirmatory test on data not used in this screen."
EXP-142,AUDUSD,calendar_drift,"Monday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Monday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.241,-0.3194,-2.89,-5.21,0.486,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-143,AUDUSD,calendar_drift,"Tuesday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Tuesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.33,0.0671,-2.05,1.04,0.596,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-144,AUDUSD,calendar_drift,"Tuesday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Tuesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.573,-0.1317,1.12,-2.04,1.325,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-145,AUDUSD,calendar_drift,"Wednesday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Wednesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,85,1.416,0.0809,-1.72,1.3,0.638,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-146,AUDUSD,calendar_drift,"Wednesday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Wednesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,85,0.533,-0.1459,0.82,-2.35,1.238,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-147,AUDUSD,calendar_drift,"Thursday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Thursday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,0.909,-0.0232,1.48,-0.36,1.448,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-148,AUDUSD,calendar_drift,"Thursday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Thursday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,83,0.844,-0.0407,-2.47,-0.62,0.542,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-149,AUDUSD,calendar_drift,"Friday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Friday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.793,-0.0555,-1.41,-0.73,0.693,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-150,AUDUSD,calendar_drift,"Friday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Friday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.964,-0.0089,0.43,-0.12,1.117,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-151,USDCAD,calendar_drift,"Monday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Monday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,1.129,0.0319,-0.58,0.44,0.862,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),A. REJECTED -- no edge,"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-152,USDCAD,calendar_drift,"Monday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Monday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.708,-0.0925,-0.64,-1.26,0.849,101,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-153,USDCAD,calendar_drift,"Tuesday long open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Tuesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.812,-0.0445,1.47,-0.69,1.441,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
EXP-154,USDCAD,calendar_drift,"Tuesday short open-to-close drift, analogous to the validated GBPUSD Monday Drift mechanism",D1,Tuesday full session,2023-01-01 to 2025-01-01,"N/A -- single IS/OOS split, no separate validation fold (small-universe exploratory screen)",2025-01-01 to 2026-08-14,84,0.928,-0.016,-2.36,-0.25,0.554,102,NOT TESTED (screen stage),NOT TESTED (screen stage -- single IS/OOS split only),NOT TESTED (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT AVAILABLE (screen stage),NOT TESTED (screen stage),B. REJECTED -- insufficient robustness (IS/OOS inconsistent),"Exploratory calendar-drift screen cell; single IS/OOS split, D1-bar-open-to-close proxy (not the pairs live H1 mechanics); MetaQuotes-Demo broker feed, not 5ers broker history."
